frame_id,timestamp,person_present,bbox,in_danger_zone,trigger,reason,stable,motion_px,aspect_ratio,static_seconds
0,0.00,0,,0,0,no_person,0,0.00,0.000,0.00
1,0.10,0,,0,0,no_person,0,0.00,0.000,0.00
2,0.20,0,,0,0,no_person,0,0.00,0.000,0.00
3,0.30,0,,0,0,no_person,0,0.00,0.000,0.00
4,0.40,0,,0,0,no_person,0,0.00,0.000,0.00
5,0.50,0,,0,0,no_person,0,0.00,0.000,0.00
6,0.60,0,,0,0,no_person,0,0.00,0.000,0.00
7,0.70,0,,0,0,no_person,0,0.00,0.000,0.00
8,0.80,0,,0,0,no_person,0,0.00,0.000,0.00
9,0.90,0,,0,0,no_person,0,0.00,0.000,0.00
10,1.00,0,,0,0,no_person,0,0.00,0.000,0.00
11,1.10,0,,0,0,no_person,0,0.00,0.000,0.00
12,1.20,0,,0,0,no_person,0,0.00,0.000,0.00
13,1.30,0,,0,0,no_person,0,0.00,0.000,0.00
14,1.40,0,,0,0,no_person,0,0.00,0.000,0.00
15,1.50,1,"[99, 60, 179, 250]",0,0,normal,0,0.00,0.421,0.00
16,1.60,1,"[100, 61, 180, 251]",0,0,stable_normal,1,1.41,0.421,0.10
17,1.70,1,"[101, 59, 181, 249]",0,0,stable_normal,1,2.24,0.421,0.20
18,1.80,1,"[99, 60, 179, 250]",0,0,stable_normal,1,2.24,0.421,0.30
19,1.90,1,"[100, 61, 180, 251]",0,0,stable_normal,1,1.41,0.421,0.40
20,2.00,1,"[101, 59, 181, 249]",0,0,stable_normal,1,2.24,0.421,0.50
21,2.10,1,"[99, 60, 179, 250]",0,0,stable_normal,1,2.24,0.421,0.60
22,2.20,1,"[100, 61, 180, 251]",0,0,stable_normal,1,1.41,0.421,0.70
23,2.30,1,"[101, 59, 181, 249]",0,0,stable_normal,1,2.24,0.421,0.80
24,2.40,1,"[99, 60, 179, 250]",0,0,stable_normal,1,2.24,0.421,0.90
25,2.50,1,"[100, 61, 180, 251]",0,0,stable_normal,1,1.41,0.421,1.00
26,2.60,1,"[101, 59, 181, 249]",0,0,stable_normal,1,2.24,0.421,1.10
27,2.70,1,"[99, 60, 179, 250]",0,0,stable_normal,1,2.24,0.421,1.20
28,2.80,1,"[100, 61, 180, 251]",0,0,stable_normal,1,1.41,0.421,1.30
29,2.90,1,"[101, 59, 181, 249]",0,0,stable_normal,1,2.24,0.421,1.40
30,3.00,1,"[99, 60, 179, 250]",0,0,stable_normal,1,2.24,0.421,1.50
31,3.10,1,"[100, 61, 180, 251]",0,0,stable_normal,1,1.41,0.421,1.60
32,3.20,1,"[101, 59, 181, 249]",0,0,stable_normal,1,2.24,0.421,1.70
33,3.30,1,"[99, 60, 179, 250]",0,0,stable_normal,1,2.24,0.421,1.80
34,3.40,1,"[100, 61, 180, 251]",0,0,stable_normal,1,1.41,0.421,1.90
35,3.50,1,"[95, 95, 245, 215]",0,1,fall_suspicious,0,30.02,1.250,0.00
36,3.60,1,"[92, 113, 248, 229]",0,0,normal,0,16.00,1.345,0.00
37,3.70,1,"[93, 112, 249, 228]",0,0,normal,0,1.41,1.345,0.10
38,3.80,1,"[92, 113, 248, 229]",0,0,normal,0,1.41,1.345,0.20
39,3.90,1,"[93, 112, 249, 228]",0,0,normal,0,1.41,1.345,0.30
40,4.00,1,"[92, 113, 248, 229]",0,0,normal,0,1.41,1.345,0.40
41,4.10,1,"[93, 112, 249, 228]",0,0,normal,0,1.41,1.345,0.50
42,4.20,1,"[92, 113, 248, 229]",0,0,normal,0,1.41,1.345,0.60
43,4.30,1,"[93, 112, 249, 228]",0,0,stable_normal,1,1.41,1.345,0.70
44,4.40,1,"[92, 113, 248, 229]",0,0,stable_normal,1,1.41,1.345,0.80
45,4.50,1,"[93, 112, 249, 228]",0,0,stable_normal,1,1.41,1.345,0.90
46,4.60,1,"[92, 113, 248, 229]",0,0,stable_normal,1,1.41,1.345,1.00
47,4.70,1,"[93, 112, 249, 228]",0,0,stable_normal,1,1.41,1.345,1.10
